Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
333,Sean Kilpatrick,26,2TM,SG,31,0,616,15.6,0.576,0.422,0.248,2.1,8.2,5.1,8,1,0.3,9.4,23.8,1,0,1,0.076,1,-3.1,-2.2,0,
333,Sean Kilpatrick,26,DEN,SG,8,0,82,8,0.551,0.81,0.381,2.7,5.5,4.1,5.4,1.2,0,14,15.2,0,0,0.1,0.037,-2.3,-1.4,-3.8,0,
333,Sean Kilpatrick,26,BRK,SG,23,0,534,16.7,0.578,0.39,0.237,2.1,8.6,5.3,8.4,0.9,0.3,8.9,25.2,0.9,0,0.9,0.082,1.5,-3.4,-1.9,0,
334,Rondae Hollis-Jefferson,21,BRK,SF,29,17,615,14.2,0.519,0.101,0.377,7,21.4,14.1,10.1,3.2,2.1,13.9,13.5,0.5,0.7,1.2,0.094,-1.4,2.2,0.8,0.4,
335,Shabazz Napier,24,ORL,PG,55,0,600,9.6,0.46,0.517,0.224,1.6,8.6,5.1,23.1,1.9,0.1,17.2,19.7,-0.3,0.4,0.1,0.004,-2,-1,-3,-0.2,
336,Anthony Brown,23,LAL,SF,29,11,599,4.9,0.427,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10,11,-0.4,0.1,-0.3,-0.024,-4.5,-1,-5.5,-0.5,
337,Josh McRoberts,28,MIA,PF,42,1,595,9.9,0.453,0.331,0.27,4.3,15.3,10,19.4,1.6,0.9,15.3,15,0.1,0.7,0.8,0.064,-2.6,1,-1.6,0.1,
338,Metta World Peace,36,LAL,SF,35,5,590,8.3,0.435,0.475,0.322,3.4,13.2,8.1,7.2,1.9,1.5,6.9,16.2,-0.2,0.3,0.1,0.008,-3.2,-0.3,-3.5,-0.2,
339,Tiago Splitter,31,ATL,C,36,2,579,13.7,0.571,0.013,0.31,8.7,13.8,11.3,7.9,1.7,1.6,12,15.5,0.9,0.9,1.7,0.144,-2.2,0.5,-1.7,0,
340,Ian Clark,24,GSW,SG,66,1,578,11.5,0.544,0.416,0.168,2.6,9.7,6.3,15.3,1.4,1.7,16.5,19.5,0.3,0.6,0.9,0.075,-1.5,-0.4,-1.9,0,
341,Tyus Jones,19,MIN,PG,37,0,573,11.2,0.45,0.34,0.25,1.4,8,4.8,27.7,2.7,0.4,16,16.1,0,0.3,0.3,0.027,-1.9,-0.5,-2.4,-0.1,
342,Carl Landry,32,PHI,PF,36,12,569,22.4,0.605,0.052,0.364,9.1,19.2,14,11.1,1,1.2,7.1,24,1.8,0.3,2.1,0.176,2.6,-1.4,1.2,0.5,
343,Mike Muscala,24,ATL,C,60,0,565,13.6,0.576,0.257,0.257,7.5,14.9,11.3,9.1,1.1,3.8,13.8,15.5,0.7,0.9,1.6,0.136,-2.1,1.2,-0.9,0.2,
344,Kevin Garnett,39,MIN,PF,38,38,556,12.3,0.491,0.009,0.183,3.2,27.9,15.7,16.4,2.5,1.5,11.4,11.3,0.4,0.7,1.1,0.092,-1.6,3.1,1.5,0.5,
345,Donatas Motiejūnas,25,HOU,PF,37,22,547,11.3,0.504,0.278,0.259,7.4,14.6,11,12.2,1.5,0.8,16.2,21.4,0,0.3,0.3,0.027,-2.8,-1.7,-4.5,-0.3,
346,Jusuf Nurkić,21,DEN,C,32,3,547,15.9,0.46,0.012,0.409,12.9,22.7,17.7,12.3,2.2,6.5,16.1,27.2,-0.5,0.9,0.4,0.031,-3.6,0.7,-2.9,-0.1,
347,Kendrick Perkins,31,NOP,C,37,5,542,6,0.529,0,0.333,4.9,21.8,13.1,7.9,1,1.7,32.3,10.4,-0.4,0.4,-0.1,-0.007,-5.2,0.2,-5,-0.4,
348,Kevin Séraphin,26,NYK,C,48,0,526,10.8,0.435,0.01,0.112,6.5,19.5,13.1,14.8,0.8,5.2,16.7,22.2,-0.8,0.7,-0.2,-0.015,-4.4,0.6,-3.8,-0.2,
349,Boban Marjanović,27,SAS,C,54,4,508,27.7,0.662,0,0.655,16.9,26.2,21.7,6.6,1.2,3.5,11.5,22.8,2.3,1.2,3.4,0.325,3.9,0.4,4.3,0.8,
350,Glenn Robinson III,22,IND,SF,45,4,508,11.4,0.508,0.245,0.258,2.6,12,7.3,7.7,1.7,1.4,9.7,16.1,0.2,0.6,0.8,0.078,-1.6,0.5,-1.1,0.1,
351,Sonny Weems,29,2TM,SF,43,0,499,3.7,0.459,0.373,0.136,1.5,10.3,5.8,14.2,1,0.2,26,13.5,-0.7,0.1,-0.5,-0.053,-5.6,-1.7,-7.3,-0.7,
