Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
117,Calbert Cheaney,32,GSW,SF,79,7,2067,10.6,0.493,0.017,0.133,4.2,10,7.1,11.2,1.6,0.4,12.2,15.5,1,1.3,2.3,0.054,-2.4,0.1,-2.3,-0.1,
118,Gilbert Arenas,22,WAS,PG,55,52,2066,16,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,1.1,1.5,2.6,0.061,1.1,-1,0.1,1.1,
119,Larry Hughes,25,WAS,SG,61,61,2061,17.6,0.496,0.23,0.332,5.1,12.9,8.9,14.3,2.4,0.9,11.6,28.1,2.1,1.6,3.8,0.088,1.7,-0.7,0.9,1.5,
120,Jarvis Hayes,22,WAS,SF,70,42,2044,9.4,0.456,0.188,0.141,3.8,10.9,7.2,9.3,1.8,0.4,13,18.4,-0.6,1.1,0.5,0.012,-3,-1,-4,-1.1,
121,Gordan Giriček,26,2TM,SF,73,43,2041,13.2,0.521,0.21,0.218,2.9,10.2,6.4,10.9,1.5,0.6,11.5,20.1,2.2,0.2,2.4,0.056,-0.1,-1.6,-1.6,0.2,
122,Allen Iverson,28,PHI,SG,48,47,2040,19.3,0.478,0.177,0.404,2,8.2,5.1,34.4,3.1,0.2,13.6,35.3,0.5,2.3,2.8,0.066,2.7,-0.6,2.1,2.1,AS
123,Caron Butler,23,MIA,SF,68,56,2030,10.7,0.44,0.067,0.279,5.2,13.6,9.4,10.8,2,0.5,11.4,18.5,-0.2,2.4,2.1,0.05,-2.9,0.1,-2.9,-0.4,
124,Amar'e Stoudemire,21,PHO,PF,55,53,2025,19.8,0.536,0.006,0.503,8.8,19.2,14,7,1.6,3.3,14.4,27.5,2.4,2,4.4,0.105,0.8,-0.7,0.1,1.1,
125,Ronald Murray,24,SEA,PG,82,18,2021,15.4,0.497,0.25,0.257,2.6,9.2,5.9,18.5,2.1,1,12.8,26.7,1.2,0.5,1.7,0.04,0.1,-1.4,-1.2,0.4,
126,Raja Bell,27,UTA,SG,82,4,2020,12.7,0.5,0.206,0.308,3.6,11.3,7.4,10.2,1.7,0.5,10.8,23.6,2.2,1.5,3.7,0.088,-1.2,-0.8,-2,0,6MOY-9
127,Damon Jones,27,MIL,PG,82,26,2016,14.2,0.516,0.521,0.137,0.8,8.7,4.8,36.7,0.8,0.1,15.6,14.8,3.6,0.3,3.9,0.093,2,-1.9,0,1,
128,Carlos Arroyo,24,UTA,PG,71,71,2008,16.8,0.517,0.152,0.293,2.5,9,5.7,34.6,1.7,0.2,15.2,23.7,3.5,1.2,4.7,0.112,2,-1.1,0.9,1.5,
129,David Wesley,33,NOH,SG,61,60,2001,12.6,0.483,0.356,0.228,1.6,6.2,3.8,16.1,1.9,0.5,10.2,22.4,1.4,1.4,2.8,0.067,-0.8,-0.7,-1.5,0.2,
