Player,MP
Chris Boucher,6233.0
Chris Chiozza,372.0
Chris Duarte,3157.0
Chris Paul,10050.0
Christian Braun,5511.0
Christian Koloko,1144.0
Christian Wood,6030.0
Chuma Okeke,3832.0
Clint Capela,8729.0
Coby White,10892.0
Cody Martin,4641.0
Cody Williams,1060.0
Cody Zeller,1680.0
Colby Jones,515.0
Cole Anthony,7935.0
Colin Castleton,432.0
Collin Gillespie,461.0
Collin Sexton,7409.0
Corey Kispert,7563.0
Cory Joseph,5181.0
Craig Porter Jr.,1162.0
D'Angelo Russell,9541.0
D.J. Augustin,2012.0
D.J. Wilson,433.0
DaQuan Jeffries,1564.0
Daishen Nix,1175.0
Dalano Banton,3142.0
Dalen Terry,1668.0
Dalton Knecht,1494.0
Damian Jones,2311.0
Damian Lillard,10233.0
Damion Baugh,370.0
Damion Lee,3841.0
Damyean Dotson,907.0
Daniel Gafford,6880.0
Daniel Theis,4214.0
Danilo Gallinari,3524.0
Danny Green,3287.0
Dante Exum,1460.0
Danuel House Jr.,2975.0
Dario Šarić,2775.0
Darius Bazley,4254.0
Darius Garland,10869.0
David Duke Jr.,341.0
David Nwaba,1288.0
David Roddy,2845.0
Davion Mitchell,6651.0
Davon Reed,1010.0
Day'Ron Sharpe,2771.0
De'Aaron Fox,11454.0
De'Andre Hunter,7802.0
De'Anthony Melton,5875.0
DeAndre Jordan,3541.0
DeAndre' Bembry,1998.0
DeMar DeRozan,13238.0
DeMarcus Cousins,1431.0
Dean Wade,5443.0
Deandre Ayton,8853.0
Dejounte Murray,10993.0
Delon Wright,5798.0
Deni Avdija,9679.0
Dennis Schröder,10370.0
Dennis Smith Jr.,3507.0
Denzel Valentine,1036.0
Dereck Lively II,2127.0
Derrick Favors,1692.0
Derrick Jones Jr.,6766.0
Derrick Rose,2652.0
Derrick White,10537.0
Desmond Bane,9274.0
Devin Booker,11692.0
Devin Carter,396.0
Devin Vassell,8402.0
Devonte' Graham,5472.0
Dewayne Dedmon,1491.0
Dillon Brooks,9711.0
Dillon Jones,551.0
Domantas Sabonis,12460.0
Dominick Barlow,1203.0
Donovan Clingan,1324.0
Donovan Mitchell,10643.0
Donte DiVincenzo,8680.0
Dorian Finney-Smith,10326.0
Doug McDermott,5402.0
Draymond Green,9081.0
Drew Eubanks,5499.0
Drew Timme,254.0
Dru Smith,268.0
Duane Washington Jr.,1362.0
Duncan Robinson,8686.0
Duop Reath,1683.0
Dwayne Bacon,1853.0
Dwight Howard,2167.0
Dwight Powell,5609.0
Dylan Windler,972.0
Dyson Daniels,4971.0
Dāvis Bertāns,3437.0
E'Twaun Moore,389.0
Ed Davis,299.0
Edmond Sumner,1597.0
Elfrid Payton,2544.0
Elijah Hughes,434.0
Enes Freedom,2169.0
Eric Bledsoe,3472.0
Eric Gordon,7084.0
Eric Paschall,1431.0
Eugene Omoruyi,1038.0
Evan Fournier,4656.0
Evan Mobley,8745.0
Facundo Campazzo,2609.0
Frank Jackson,1902.0
Frank Kaminsky,715.0
Frank Ntilikina,1614.0
Franz Wagner,9398.0
Fred VanVleet,11691.0
Freddie Gillespie,392.0
Furkan Korkmaz,3129.0
GG Jackson II,1692.0
Gabe Vincent,5530.0
Garrett Temple,2915.0
Garrison Mathews,5258.0
Gary Clark,1032.0
Gary Harris,6002.0
Gary Payton II,3221.0
Gary Trent Jr.,10255.0
George Hill,2759.0
Georges Niang,7930.0
Giannis Antetokounmpo,11097.0
Glenn Robinson III,369.0
Goga Bitadze,4134.0
Goran Dragić,2705.0
Gordon Hayward,5882.0
Gorgui Dieng,1281.0
Gradey Dick,2855.0
Grant Williams,7667.0
Grayson Allen,9093.0
Greg Brown III,640.0
Guerschon Yabusele,1895.0
Gui Santos,762.0
Hamidou Diallo,3491.0
Harrison Barnes,11962.0
Harry Giles,348.0
Hassan Whiteside,1708.0
Haywood Highsmith,4153.0
Herbert Jones,7255.0
Hunter Tyson,400.0
Ignas Brazdeikis,536.0
Immanuel Quickley,8292.0
Isaac Bonga,432.0
Isaac Jones,304.0
Isaac Okoro,8746.0
Isaiah Collier,1839.0
Isaiah Hartenstein,6887.0
Isaiah Jackson,2354.0
Isaiah Joe,5436.0
Isaiah Livers,2051.0
Isaiah Roby,2847.0
Isaiah Stewart,7542.0
Isaiah Thomas,333.0
Isaiah Wong,265.0
Ish Smith,3189.0
Ish Wainright,1274.0
Ivica Zubac,10049.0
JJ Redick,723.0
JT Thor,2012.0
Ja Morant,7727.0
Ja'Kobe Walter,1103.0
JaKarr Sampson,316.0
JaMychal Green,3002.0
JaVale McGee,2544.0
Jabari Smith Jr.,6591.0
Jabari Walker,3068.0
Jacob Gilyard,699.0
Jaden Hardy,2604.0
Jaden Ivey,5419.0
Jaden McDaniels,10449.0
Jaden Springer,872.0
Jae Crowder,5030.0
Jae'Sean Tate,6395.0
Jahlil Okafor,347.0
Jaime Jaquez Jr.,3481.0
Jake LaRavia,2569.0
Jake Layman,627.0
Jakob Poeltl,8726.0
Jalen Brunson,11627.0
Jalen Duren,5481.0
Jalen Green,10038.0
Jalen Hood-Schifino,315.0
Jalen Johnson,4215.0
Jalen McDaniels,4250.0
Jalen Pickett,666.0
Jalen Smith,4213.0
Jalen Suggs,5580.0
Jalen Williams,6736.0
Jalen Wilson,2695.0
Jamal Cain,761.0
Jamal Murray,8116.0
Jamal Shead,1467.0
James Bouknight,819.0
James Ennis III,986.0
