,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
237,Jamison Battle,23,-2.3,23,-2.3,Ohio State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
238,Oso Ighodaro,22,-2.6,22,-2.6,Marquette,40,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
239,Cody Williams,20,-7.3,20,-7.3,Colorado,10,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
240,Ante Žižić,22,-3.2,22,-3.2,Darussafaka,23,1st,15-30,Turkey,BSL,23,Benchwarmer,Bust
241,Kevin Séraphin,21,-1.7,22,-2.9666666666666663,Cholet,17,1st,15-30,France,LNB Pro A,10,Benchwarmer,Bust
242,Jeff Withey,23,1.4,26,0.8666666666666667,Kansas,39,2nd,31-44,USA,Top D1,2,Role Player,Met
243,O.J. Mayo,21,0.8,24,0.10000000000000002,Southern California,3,1st,1-14,USA,Top D1,2,Role Player,Below
244,Rayan Rupert,19,-4.7,20,-5.7,New Zealand Breakers,43,2nd,31-44,Australia,NBL,6,Benchwarmer,Bust
245,Kevin Martin,21,3.4,27,2.8666666666666667,Western Carolina,26,1st,15-30,USA,Other D1,7,Good Starter,Met
246,Ja'Kobe Walter,20,-3.0,20,-3.0,Baylor,19,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
247,Archie Goodwin,19,-3.2,19,-3.4333333333333336,Kentucky,29,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
248,Brandon Williams,22,1.0,25,-2.35,Davidson,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
249,Ekpe Udoh,23,4.7,31,2.1,Baylor,6,1st,1-14,USA,Top D1,2,Good Starter,Met
250,Miloš Teodosić,30,-1.7,30,-1.7,CSKA Moscow,0,Undrafted,Undrafted,Russia,Euroleague,1,Replacement Level,Exceeded
251,Antonio Blakeney,21,-5.2,21,-5.2,Louisiana State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
252,Christian Koloko,22,-2.8,24,-3.15,Arizona,33,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
253,Justin Edwards,21,-3.7,21,-3.7,Kentucky,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
254,Craig Porter Jr.,23,1.1,24,0.8,Wichita State,0,Undrafted,Undrafted,USA,Other D1,7,Role Player,Exceeded
255,Andrew Nicholson,23,-1.1,26,-2.9000000000000004,St. Bonaventure,19,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
256,Isaiah Taylor,23,-4.4,23,-4.4,Texas,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
257,Vlatko Čančar,23,-1.8,25,-2.2,San Pablo Burgos,49,2nd,45-60,Spain,Liga ACB,3,Benchwarmer,Below
258,CJ Elleby,21,-5.3,21,-5.3,Washington State,46,2nd,45-60,USA,Other D1,7,Benchwarmer,Below
259,Daishen Nix,19,-6.4,19,-6.45,G League Ignite,0,Undrafted,Undrafted,USA,G League,8,Benchwarmer,Met
260,Troy Williams,22,-0.5,23,-2.233333333333333,Indiana,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
261,Justin Hamilton,24,-0.8,24,-0.8,Louisiana State,45,2nd,45-60,USA,Top D1,2,Replacement Level,Met
262,Neemias Queta,24,1.5,24,0.4,Utah State,39,2nd,31-44,USA,Other D1,7,Role Player,Met
263,Norris Cole,23,-2.8,26,-3.233333333333333,Cleveland State,28,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
264,Dominick Barlow,19,-1.7,20,-2.8333333333333335,Overtime Elite,0,Undrafted,Undrafted,USA,Overtime,26,Benchwarmer,Met
265,Ronnie Price,23,-0.7,24,-1.2666666666666666,Utah Valley,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
266,Matt Thomas,25,1.1,25,-2.033333333333333,Iowa State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
267,Johnny O'Bryant,21,-4.4,24,-6.6000000000000005,Louisiana State,36,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
268,Ivan Rabb,20,-1.4,21,-1.7,California,35,2nd,31-44,USA,Top D1,2,Replacement Level,Below
269,Moussa Diabaté,23,-1.9,23,-1.9,Michigan,43,2nd,31-44,USA,Top D1,2,Replacement Level,Below
270,Ron Baker,23,-0.4,24,-2.5500000000000003,Wichita State,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
271,Tidjane Salaün,19,-5.2,19,-5.2,Cholet,6,1st,1-14,France,LNB Pro A,10,Benchwarmer,Bust
272,Omer Yurtseven,23,-1.0,23,-2.0,Georgetown,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
273,Ron Holland,19,-3.0,19,-3.0,G League Ignite,5,1st,1-14,USA,G League,8,Benchwarmer,Bust
274,Beno Udrih,22,0.9,22,0.6,Olimpia Milano,28,1st,15-30,Italy,Euroleague,1,Role Player,Met
275,Kelan Martin,24,-2.4,25,-3.4333333333333336,Butler,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
276,Ish Wainright,27,-1.2,28,-1.6,Baylor,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
277,Jonathan Mogbo,23,-1.9,23,-1.9,San Francisco,31,2nd,31-44,USA,Other D1,7,Replacement Level,Below
278,Admiral Schofield,22,-2.9,25,-4.6000000000000005,Tennessee,42,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
279,MarJon Beauchamp,22,-3.2,23,-4.0,G League Ignite,24,1st,15-30,USA,G League,8,Benchwarmer,Bust
280,PJ Hairston,22,-2.9,22,-3.7,North Carolina,26,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
281,Tyrese Martin,25,-2.6,25,-2.6,Connecticut,51,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
282,Sasha Vujačić,20,1.2,23,0.43333333333333335,Udine,27,1st,15-30,Italy,Serie A,4,Role Player,Met
283,Donald Sloan,24,-0.1,26,-1.5999999999999999,Texas A&M,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
284,Donovan Clingan,20,-0.3,20,-0.3,Connecticut,7,1st,1-14,USA,Top D1,2,Replacement Level,Met
285,Cole Aldrich,24,2.4,27,1.4000000000000001,Kansas,11,1st,1-14,USA,Top D1,2,Role Player,Below
286,Ousmane Dieng,19,-0.9,21,-2.5,New Zealand Breakers,11,1st,1-14,Australia,NBL,6,Benchwarmer,Bust
287,Duane Washington Jr.,21,-4.6,22,-4.65,Ohio State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
288,Kyle Singler,24,-1.4,25,-2.1666666666666665,Duke,33,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
289,Armoni Brooks,22,-3.2,22,-3.55,Houston,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
290,Wenyen Gabriel,24,-2.2,25,-4.050000000000001,Kentucky,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
291,AJ Griffin,19,-0.8,19,-0.8,Duke,16,1st,15-30,USA,Top D1,2,Replacement Level,Below
292,Ryan Dunn,22,-4.1,22,-4.1,Virginia,28,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
293,Noah Clowney,19,-0.7,19,-2.4,Alabama,21,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
294,Zach Edey,22,-0.1,22,-0.1,Purdue,9,1st,1-14,USA,Top D1,2,Replacement Level,Met
