,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
576,Sterling Brown,22,-1.5,23,-1.7,Southern Methodist,46,2nd,45-60,USA,Top D1,2,Replacement Level,Met
577,Ziaire Williams,20,-2.3,23,-3.266666666666667,Stanford,10,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
578,Wesley Johnson,23,-0.2,28,-0.6666666666666666,Syracuse,4,1st,1-14,USA,Top D1,2,Replacement Level,Met
579,Gerald Green,20,1.4,28,0.6333333333333333,Gulf Shores Academy (HS),18,1st,15-30,USA,High School,29,Role Player,Met
580,Jose Alvarado,23,1.9,23,0.19999999999999996,Georgia Tech,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
581,Jalen McDaniels,22,-2.1,25,-2.5333333333333337,San Diego State,52,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
582,Trevor Booker,23,0.0,28,-0.10000000000000002,Clemson,23,1st,15-30,USA,Top D1,2,Replacement Level,Below
583,Tyreke Evans,20,4.5,28,2.6666666666666665,Memphis,4,1st,1-14,USA,Top D1,2,Good Starter,Met
584,Sam Hauser,25,1.2,26,1.0,Virginia,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
585,Troy Daniels,23,0.7,24,-1.2333333333333334,Va Commonwealth,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
586,Kendrick Nunn,24,-0.5,25,-2.1,Oakland,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
587,Tim Frazier,25,-0.9,27,-1.5666666666666667,Penn State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
588,David Nwaba,24,1.1,27,-0.09999999999999998,Cal Poly-Obispo,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
589,Ochai Agbaji,22,-0.7,24,-2.7000000000000006,Kansas,14,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
590,Denzel Valentine,23,-0.6,26,-1.4333333333333336,Michigan State,14,1st,1-14,USA,Top D1,2,Replacement Level,Met
591,Nick Richards,24,-1.3,25,-2.1333333333333333,Kentucky,42,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
592,Goga Bitadze,20,2.5,25,1.633333333333333,Mega Basket,18,1st,15-30,Serbia,ABA,11,Role Player,Met
593,Luc Mbah a Moute,22,-0.2,29,-0.43333333333333335,UCLA,37,2nd,31-44,USA,Top D1,2,Replacement Level,Below
594,Arron Afflalo,22,1.4,25,0.43333333333333335,UCLA,27,1st,15-30,USA,Top D1,2,Role Player,Met
595,Robert Williams,21,6.0,23,5.533333333333334,Texas A&M,27,1st,15-30,USA,Top D1,2,All-NBA,Exceeded
596,Corey Brewer,21,0.4,26,0.03333333333333335,Florida,7,1st,1-14,USA,Top D1,2,Role Player,Below
597,John Henson,22,0.9,29,0.6,North Carolina,14,1st,1-14,USA,Top D1,2,Role Player,Below
598,Khem Birch,25,1.2,26,-0.23333333333333336,UNLV,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
599,Meyers Leonard,20,2.0,24,1.4666666666666666,Illinois,11,1st,1-14,USA,Top D1,2,Role Player,Below
600,Monta Ellis,20,1.6,22,1.0000000000000002,Lanier HS (MS),40,2nd,31-44,USA,High School,29,Role Player,Met
601,Justin Jackson,22,-1.6,23,-2.8333333333333335,North Carolina,15,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
602,Jonas Jerebko,22,0.9,26,0.3,Angelico Biella,39,2nd,31-44,Italy,Serie B,18,Role Player,Met
603,Devin Harris,21,2.8,25,2.033333333333333,Wisconsin,5,1st,1-14,USA,Top D1,2,Good Starter,Met
604,Kosta Koufos,19,0.9,22,0.3666666666666667,Ohio State,23,1st,15-30,USA,Top D1,2,Role Player,Met
605,Ian Mahinmi,24,0.9,29,-0.6,Pau Orthez,28,1st,15-30,France,LNB Pro B,20,Replacement Level,Below
606,Jahlil Okafor,20,-0.2,24,-1.1333333333333333,Duke,3,1st,1-14,USA,Top D1,2,Replacement Level,Met
607,Shelvin Mack,21,-1.1,23,-1.3666666666666665,Butler,34,2nd,31-44,USA,Top D1,2,Replacement Level,Below
608,Hamidou Diallo,20,-0.5,23,-1.3333333333333333,Kentucky,45,2nd,45-60,USA,Top D1,2,Replacement Level,Met
609,Jerian Grant,23,0.1,24,-0.9333333333333332,Notre Dame,19,1st,15-30,USA,Top D1,2,Replacement Level,Below
610,Walker Kessler,21,2.9,21,1.866666666666667,Auburn,22,1st,15-30,USA,Top D1,2,Role Player,Met
611,Tyson Chandler,21,2.6,32,2.266666666666667,Dominguez HS (CA),2,1st,1-14,USA,High School,29,Good Starter,Met
612,Shaun Livingston,19,0.4,27,0.2333333333333333,Peoria Central HS (IL),4,1st,1-14,USA,High School,29,Role Player,Below
613,Andre Roberson,22,0.5,24,-0.09999999999999998,Colorado,26,1st,15-30,USA,Top D1,2,Replacement Level,Below
614,Dyson Daniels,19,1.5,21,0.10000000000000002,G League Ignite,8,1st,1-14,USA,G League,8,Role Player,Below
615,Shabazz Napier,23,1.5,27,0.6000000000000001,Connecticut,24,1st,15-30,USA,Top D1,2,Role Player,Met
616,Cam Thomas,20,0.3,23,-1.2,Louisiana State,27,1st,15-30,USA,Top D1,2,Replacement Level,Below
617,Iman Shumpert,21,-0.1,22,-0.7999999999999999,Georgia Tech,17,1st,15-30,USA,Top D1,2,Replacement Level,Below
618,Jeremy Sochan,19,-1.2,21,-2.8666666666666667,Baylor,9,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
619,Glenn Robinson III,21,-0.3,23,-0.7000000000000001,Michigan,40,2nd,31-44,USA,Top D1,2,Replacement Level,Below
620,Yogi Ferrell,23,-1.1,23,-1.4333333333333333,Indiana,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
621,Shaedon Sharpe,19,-1.3,21,-2.4666666666666663,Kentucky,7,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
622,John Konchar,24,1.7,28,1.4666666666666668,Indiana-Purdue Fort Wayne,0,Undrafted,Undrafted,USA,Other D1,7,Role Player,Exceeded
623,Amir Johnson,20,1.3,20,1.1666666666666667,Westchester HS (CA),56,2nd,45-60,USA,High School,29,Role Player,Met
624,Zaza Pachulia,19,0.6,32,0.3333333333333333,Ulkerspor,42,2nd,31-44,Turkey,Euroleague,1,Role Player,Met
625,Willy Hernangómez,22,1.4,23,0.6333333333333333,Cajasol Sevilla,35,2nd,31-44,Spain,Liga ACB,3,Role Player,Met
626,Luke Kornet,22,3.4,28,2.9,Vanderbilt,0,Undrafted,Undrafted,USA,Top D1,2,Good Starter,Exceeded
627,Thabo Sefolosha,22,2.7,31,2.1999999999999997,Angelico Biella,13,1st,1-14,Italy,Serie B,18,Good Starter,Met
628,J.J. Barea,23,1.5,32,0.9,Northeastern,0,Undrafted,Undrafted,USA,Other D1,7,Role Player,Exceeded
629,Timothé Luwawu-Cabarrot,21,-2.2,24,-3.1999999999999997,Mega Basket,24,1st,15-30,Serbia,ABA,11,Benchwarmer,Bust
630,Garrison Mathews,24,-1.6,28,-1.9000000000000001,Lipscomb,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
631,Juancho Hernangómez,21,-0.1,21,-0.6,Estudiantes,15,1st,15-30,Spain,Primera FEB,17,Replacement Level,Below
632,Jonathon Simmons,26,-2.6,27,-2.8000000000000003,Houston,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
633,Kevin Knox,19,-1.4,21,-3.0333333333333337,Kentucky,9,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
634,Zach Randolph,20,2.6,29,1.8333333333333333,Michigan State,19,1st,15-30,USA,Top D1,2,Role Player,Met
635,Marquese Chriss,19,0.6,22,-1.4666666666666668,Washington,8,1st,1-14,USA,Top D1,2,Replacement Level,Met
636,Santi Aldama,21,3.2,24,1.1666666666666667,Loyola-Maryland,30,1st,15-30,USA,Other D1,7,Role Player,Met
637,Michael Carter-Williams,22,0.8,27,0.13333333333333333,Syracuse,11,1st,1-14,USA,Top D1,2,Role Player,Below
638,Furkan Korkmaz,21,-0.1,23,-1.0666666666666667,Anadolu Efes,26,1st,15-30,Turkey,Euroleague,1,Replacement Level,Below
639,Darius Bazley,19,-1.0,22,-1.4666666666666668,Princeton HS (OH),23,1st,15-30,USA,High School,29,Replacement Level,Below
640,Svi Mykhailiuk,21,-0.1,25,-1.2666666666666666,Kansas,47,2nd,45-60,USA,Top D1,2,Replacement Level,Met
641,Frank Ntilikina,19,-1.7,22,-2.2666666666666666,Strasbourg IG,8,1st,1-14,France,LNB Pro A,10,Benchwarmer,Bust
642,Noah Vonleh,19,-0.7,23,-1.0,Indiana,9,1st,1-14,USA,Top D1,2,Replacement Level,Met
643,Jaden Ivey,20,0.0,22,-2.1333333333333333,Purdue,5,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
644,C.J. Miles,19,2.4,26,1.4666666666666668,Skyline HS (TX),34,2nd,31-44,USA,High School,29,Role Player,Met
645,Isaiah Joe,21,1.3,24,-0.2666666666666666,Arkansas,49,2nd,45-60,USA,Top D1,2,Replacement Level,Met
646,Dean Wade,24,0.3,28,-0.06666666666666665,Kansas State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
647,Aaron Wiggins,23,1.1,26,-0.10000000000000002,Maryland,55,2nd,45-60,USA,Top D1,2,Replacement Level,Met
648,Killian Hayes,19,-2.7,22,-3.3333333333333335,Ratiopharm,7,1st,1-14,Germany,Bundesliga,14,Benchwarmer,Bust
649,Jalen Duren,19,3.1,21,0.7333333333333334,Memphis,13,1st,1-14,USA,Top D1,2,Role Player,Below
650,Christian Braun,21,0.3,23,-1.3333333333333333,Kansas,21,1st,15-30,USA,Top D1,2,Replacement Level,Below
651,Jonathan Isaac,20,3.8,26,2.2666666666666666,Florida State,6,1st,1-14,USA,Top D1,2,Good Starter,Met
652,Lance Stephenson,21,1.3,23,0.03333333333333336,Cincinnati,40,2nd,31-44,USA,Top D1,2,Role Player,Met
653,Gabe Vincent,24,-1.4,25,-2.9333333333333336,Cal-Santa Barbara,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
654,Nik Stauskas,21,-1.9,25,-2.333333333333333,Michigan,8,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
655,Cody Martin,24,-0.5,26,-1.4000000000000001,Nevada,36,2nd,31-44,USA,Other D1,7,Replacement Level,Below
656,Jalen Suggs,20,1.0,22,0.1333333333333333,Gonzaga,5,1st,1-14,USA,Top D1,2,Role Player,Below
657,Dion Waiters,21,-0.1,25,-0.9,Syracuse,4,1st,1-14,USA,Top D1,2,Replacement Level,Met
658,Raymond Felton,21,1.6,25,0.7666666666666667,North Carolina,5,1st,1-14,USA,Top D1,2,Role Player,Below
659,Tony Parker,19,3.6,26,3.1666666666666665,Paris Basket Racing,28,1st,15-30,France,LNB Pro A,10,Good Starter,Met
660,Andrew Nembhard,23,-2.2,24,-2.566666666666667,Gonzaga,31,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
661,Greg Monroe,20,2.9,21,2.4,Georgetown,7,1st,1-14,USA,Top D1,2,Good Starter,Met
662,Michael Kidd-Gilchrist,19,-0.5,21,-1.0999999999999999,Kentucky,2,1st,1-14,USA,Top D1,2,Replacement Level,Met
663,DeAndre' Bembry,22,-0.7,27,-1.6666666666666667,St. Joseph's (PA),21,1st,15-30,USA,High School,29,Replacement Level,Below
664,Jonathan Kuminga,19,-0.4,21,-0.8333333333333334,G League Ignite,7,1st,1-14,USA,G League,8,Replacement Level,Met
665,Markelle Fultz,19,0.5,24,-0.2333333333333333,Washington,1,1st,1-14,USA,Top D1,2,Replacement Level,Met
666,Jared Dudley,22,2.1,24,1.7000000000000002,Boston College,22,1st,15-30,USA,Top D1,2,Role Player,Met
667,Joe Johnson,22,2.7,28,2.4333333333333336,Arkansas,10,1st,1-14,USA,Top D1,2,Good Starter,Met
668,Drew Eubanks,22,0.1,25,-0.19999999999999998,Oregon State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
669,JR Smith,19,2.6,22,2.3000000000000003,St. Benedict's Prep (HS),18,1st,15-30,USA,High School,29,Good Starter,Met
670,Amir Coffey,23,-0.3,24,-1.3333333333333333,Minnesota,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
671,Thomas Bryant,21,2.2,22,1.7000000000000002,Indiana,42,2nd,31-44,USA,Top D1,2,Role Player,Met
672,Trey Burke,21,2.5,25,0.7999999999999999,Michigan,9,1st,1-14,USA,Top D1,2,Role Player,Below
673,Talen Horton-Tucker,20,-1.2,20,-1.7333333333333332,Iowa State,46,2nd,45-60,USA,Top D1,2,Replacement Level,Met
674,Cam Reddish,20,-1.3,22,-2.4,Duke,10,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
675,Bennedict Mathurin,20,-2.9,22,-3.3333333333333335,Arizona,6,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
676,Quentin Grimes,21,0.4,24,1.850371707708594e-17,Houston,25,1st,15-30,USA,Top D1,2,Role Player,Met
677,Rodney McGruder,25,-1.4,26,-1.5999999999999999,Kansas State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
678,Ed Davis,21,1.9,26,1.2,North Carolina,13,1st,1-14,USA,Top D1,2,Role Player,Below
679,Mike Scott,24,-0.1,27,-0.7333333333333334,Virginia,43,2nd,31-44,USA,Top D1,2,Replacement Level,Below
680,Jaxson Hayes,19,0.6,20,0.16666666666666666,Texas,8,1st,1-14,USA,Top D1,2,Role Player,Below
681,Vince Carter,22,7.6,24,6.366666666666667,North Carolina,5,1st,1-14,USA,Top D1,2,All-NBA,Exceeded
682,Damion Lee,25,0.2,28,-1.1333333333333333,Drexel,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
683,Moritz Wagner,21,4.0,27,2.533333333333333,Michigan,25,1st,15-30,USA,Top D1,2,Good Starter,Met
684,Jarred Vanderbilt,21,1.1,23,0.39999999999999997,Kentucky,41,2nd,31-44,USA,Top D1,2,Role Player,Met
685,Nikola Mirotić,23,2.3,23,2.0,Real Madrid,23,1st,15-30,Spain,Euroleague,1,Good Starter,Met
686,Pau Gasol,21,5.5,25,5.066666666666666,FC Barcelona,3,1st,1-14,Spain,Euroleague,1,All-NBA,Exceeded
687,Mario Hezonja,20,-0.5,22,-2.1666666666666665,FC Barcelona,5,1st,1-14,Spain,Euroleague,1,Benchwarmer,Bust
688,Dante Cunningham,22,0.8,24,-0.19999999999999998,Villanova,33,2nd,31-44,USA,Top D1,2,Replacement Level,Below
689,Mo Bamba,20,0.7,23,0.5333333333333333,Texas,6,1st,1-14,USA,Top D1,2,Role Player,Below
690,Ryan Anderson,20,4.6,22,3.633333333333333,California,21,1st,15-30,USA,Top D1,2,Good Starter,Met
691,Aaron Nesmith,21,-0.5,24,-2.2333333333333334,Vanderbilt,14,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
692,Matthew Dellavedova,23,-1.2,25,-1.9333333333333333,St. Mary's,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
693,Obi Toppin,22,2.0,23,1.7333333333333334,Dayton,8,1st,1-14,USA,Other D1,7,Role Player,Below
694,Brandon Clarke,23,4.2,25,3.266666666666667,Gonzaga,21,1st,15-30,USA,Top D1,2,Good Starter,Met
695,Danuel House Jr.,24,-0.5,25,-0.7666666666666666,Texas A&M,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
696,Jevon Carter,23,0.6,24,0.1666666666666667,West Virginia,32,2nd,31-44,USA,Top D1,2,Role Player,Met
697,Jae'Sean Tate,25,-0.7,29,-1.2999999999999998,Ohio State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
698,Precious Achiuwa,21,-1.4,24,-1.8666666666666665,Memphis,20,1st,15-30,USA,Top D1,2,Replacement Level,Below
699,Naji Marshall,23,-0.7,26,-0.9333333333333332,Xavier,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
700,Josh Green,20,-1.0,21,-2.033333333333333,Arizona,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
701,Tre Jones,21,1.5,25,0.20000000000000004,Duke,41,2nd,31-44,USA,Top D1,2,Role Player,Met
702,Wilson Chandler,20,0.5,25,-0.09999999999999999,DePaul,23,1st,15-30,USA,Top D1,2,Replacement Level,Below
703,Marvin Bagley III,19,-0.4,24,-0.7666666666666666,Duke,2,1st,1-14,USA,Top D1,2,Replacement Level,Met
704,Dirk Nowitzki,20,8.3,28,7.8999999999999995,DJK Wurzburg,9,1st,1-14,Germany,Bundesliga,14,MVP,Met
705,Anthony Tolliver,24,0.9,31,0.43333333333333335,Creighton,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
706,Jabari Smith Jr.,19,-0.4,20,-1.6000000000000003,Auburn,3,1st,1-14,USA,Top D1,2,Replacement Level,Met
707,Aron Baynes,27,-0.2,29,-0.9,Washington State,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
708,Davion Mitchell,23,-2.6,26,-2.9333333333333336,Baylor,9,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
709,Rondae Hollis-Jefferson,21,0.8,21,0.4000000000000001,Arizona,23,1st,15-30,USA,Top D1,2,Role Player,Met
710,KJ Martin,20,-0.7,22,-1.2333333333333334,IMG Academy (FL),52,2nd,45-60,USA,High School,29,Replacement Level,Met
711,Shake Milton,22,-1.0,23,-1.5333333333333332,Southern Methodist,54,2nd,45-60,USA,Top D1,2,Replacement Level,Met
712,Zion Williamson,19,7.0,23,5.533333333333334,Duke,1,1st,1-14,USA,Top D1,2,All-NBA,Exceeded
713,Josh Jackson,20,0.1,22,-2.3666666666666667,Kansas,4,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
714,Solomon Hill,23,0.1,24,-1.0333333333333332,Arizona,23,1st,15-30,USA,Top D1,2,Replacement Level,Below
715,Jalen Williams,21,4.0,23,2.1999999999999997,Santa Clara,12,1st,1-14,USA,Other D1,7,Good Starter,Met
716,Raul Neto,23,-0.1,24,-0.20000000000000004,Murcia,47,2nd,45-60,Spain,Liga ACB,3,Replacement Level,Met
717,Troy Brown Jr.,19,-1.0,23,-1.3333333333333333,Oregon,15,1st,15-30,USA,Top D1,2,Replacement Level,Below
718,Paolo Banchero,20,3.5,22,1.0999999999999999,Duke,1,1st,1-14,USA,Top D1,2,Role Player,Below
719,DeMarre Carroll,23,1.7,28,1.2333333333333334,Missouri,27,1st,15-30,USA,Top D1,2,Role Player,Met
720,Trey Murphy III,21,2.5,23,1.7,Virginia,17,1st,15-30,USA,Top D1,2,Role Player,Met
721,Lonnie Walker IV,21,-1.4,24,-2.1,Miami,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
722,Onyeka Okongwu,20,1.3,23,0.5666666666666668,Southern California,6,1st,1-14,USA,Top D1,2,Role Player,Below
723,James Ennis III,24,1.5,25,-0.39999999999999997,Cal State-Long Beach,50,2nd,45-60,USA,Other D1,7,Replacement Level,Met
724,Payton Pritchard,23,3.5,27,2.1,Oregon,26,1st,15-30,USA,Top D1,2,Good Starter,Met
725,Cade Cunningham,20,3.9,23,1.1666666666666667,Oklahoma State,1,1st,1-14,USA,Top D1,2,Role Player,Below
726,Chris Boucher,27,3.3,28,2.533333333333333,Oregon,0,Undrafted,Undrafted,USA,Top D1,2,Good Starter,Exceeded
727,JaVale McGee,21,1.6,25,1.5,Nevada,18,1st,15-30,USA,Other D1,7,Role Player,Met
728,Patrick Patterson,21,2.5,25,1.0999999999999999,Kentucky,14,1st,1-14,USA,Top D1,2,Role Player,Below
729,Zach Collins,20,0.0,26,-0.4666666666666666,Gonzaga,10,1st,1-14,USA,Top D1,2,Replacement Level,Met
730,Jamal Crawford,23,2.4,29,1.8,Michigan,8,1st,1-14,USA,Top D1,2,Role Player,Below
731,Isaiah Hartenstein,21,4.5,23,3.733333333333333,Zalgiris,43,2nd,31-44,Lithuania,Euroleague,1,All-Star,Exceeded
732,Emmanuel Mudiay,19,-1.9,23,-2.3666666666666667,Guangdong,7,1st,1-14,China,CBA,9,Benchwarmer,Bust
733,Herbert Jones,23,0.6,25,-0.06666666666666667,Alabama,35,2nd,31-44,USA,Top D1,2,Replacement Level,Below
734,Matisse Thybulle,22,5.0,27,2.6666666666666665,Washington,20,1st,15-30,USA,Top D1,2,Good Starter,Met
735,Isaiah Thomas,22,6.7,26,4.733333333333333,Washington,60,2nd,45-60,USA,Top D1,2,All-Star,Exceeded
736,Aaron Holiday,22,-0.2,27,-1.0999999999999999,UCLA,23,1st,15-30,USA,Top D1,2,Replacement Level,Below
737,LaMelo Ball,19,3.4,20,3.2999999999999994,Illawarra,3,1st,1-14,Australia,NBL,6,Good Starter,Met
738,Kevin Porter Jr.,19,0.6,22,-0.5333333333333333,Southern California,30,1st,15-30,USA,Top D1,2,Replacement Level,Below
739,Dewayne Dedmon,24,0.6,27,0.4000000000000001,USC,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
740,Dwyane Wade,22,10.6,27,9.333333333333332,Marquette,5,1st,1-14,USA,Top D1,2,MVP,Met
741,Patrick Williams,19,-1.3,21,-1.7,Florida State,4,1st,1-14,USA,Top D1,2,Replacement Level,Met
742,Daniel Gafford,21,3.8,26,2.866666666666667,Arkansas,38,2nd,31-44,USA,Top D1,2,Good Starter,Exceeded
743,Ben McLemore,20,-0.5,26,-1.9666666666666668,Kansas,7,1st,1-14,USA,Top D1,2,Replacement Level,Met
744,Jabari Parker,19,0.7,21,0.16666666666666666,Duke,2,1st,1-14,USA,Top D1,2,Role Player,Below
745,Mike Muscala,23,5.0,29,2.1333333333333333,Bucknell,44,2nd,31-44,USA,Other D1,7,Good Starter,Exceeded
746,Isaiah Stewart,19,0.6,23,-0.8666666666666667,Washington,16,1st,15-30,USA,Top D1,2,Replacement Level,Below
747,Caleb Martin,24,1.1,26,-0.36666666666666664,Nevada,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
748,Corey Kispert,22,-1.5,23,-1.9666666666666668,Gonzaga,15,1st,15-30,USA,Top D1,2,Replacement Level,Below
749,Keegan Murray,22,-0.6,22,-1.0333333333333334,Iowa,4,1st,1-14,USA,Top D1,2,Replacement Level,Met
750,Dennis Smith Jr.,20,0.4,23,-0.7000000000000001,North Carolina State,9,1st,1-14,USA,Top D1,2,Replacement Level,Met
751,Christian Wood,23,3.1,24,2.1333333333333333,UNLV,0,Undrafted,Undrafted,USA,Other D1,7,Good Starter,Exceeded
752,Daniel Theis,25,2.4,27,0.8999999999999999,Brose Bamberg,0,Undrafted,Undrafted,Germany,Bundesliga,14,Role Player,Exceeded
753,Marcin Gortat,24,2.2,27,1.6000000000000003,RheinEnergie Cologne,57,2nd,45-60,Germany,Bundesliga,14,Role Player,Met
754,Frank Kaminsky,22,1.3,27,0.46666666666666673,Wisconsin,9,1st,1-14,USA,Top D1,2,Role Player,Below
755,Nerlens Noel,20,3.1,25,2.533333333333333,Kentucky,6,1st,1-14,USA,Top D1,2,Good Starter,Met
756,Kenrich Williams,24,0.6,30,0.26666666666666666,TCU,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
757,Ayo Dosunmu,22,-0.8,24,-1.4666666666666668,Illinois,38,2nd,31-44,USA,Top D1,2,Replacement Level,Below
758,Evan Turner,22,0.0,27,-0.7666666666666666,Ohio State,2,1st,1-14,USA,Top D1,2,Replacement Level,Met
759,Nic Claxton,21,3.1,23,1.5999999999999999,Georgia,31,2nd,31-44,USA,Top D1,2,Role Player,Met
760,Courtney Lee,23,0.9,28,0.26666666666666666,Western Kentucky,22,1st,15-30,USA,Other D1,7,Role Player,Met
761,Max Strus,24,1.3,28,0.5333333333333333,DePaul,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
762,Cole Anthony,20,1.3,22,0.06666666666666672,North Carolina,15,1st,15-30,USA,Top D1,2,Role Player,Met
763,Nickeil Alexander-Walker,21,0.2,25,-0.3666666666666667,Virginia Tech,17,1st,15-30,USA,Top D1,2,Replacement Level,Below
764,Josh Okogie,20,1.5,26,0.26666666666666666,Georgia Tech,20,1st,15-30,USA,Top D1,2,Role Player,Met
765,Ersan İlyasova,19,2.0,25,1.6666666666666667,FC Barcelona,36,2nd,31-44,Spain,Euroleague,1,Role Player,Met
766,Tyler Johnson,22,1.4,24,0.5999999999999999,Fresno State,0,Undrafted,Undrafted,USA,Other D1,7,Role Player,Exceeded
767,Kyle Korver,22,2.8,31,2.2666666666666666,Creighton,51,2nd,45-60,USA,Top D1,2,Good Starter,Exceeded
768,De'Anthony Melton,20,2.3,22,1.7,Southern California,46,2nd,45-60,USA,Top D1,2,Role Player,Met
769,Marco Belinelli,22,1.3,26,0.0666666666666667,Fortitudo Bologna,18,1st,15-30,Italy,Euroleague,1,Role Player,Met
770,Alperen Şengün,19,4.9,21,3.566666666666667,Besiktas,16,1st,15-30,Turkey,Super Ligi,5,Good Starter,Met
771,Mitchell Robinson,20,3.3,26,2.9,Western Kentucky,36,2nd,31-44,USA,Other D1,7,Good Starter,Exceeded
772,Cameron Payne,21,3.1,26,0.9666666666666667,Murray State,14,1st,1-14,USA,Other D1,7,Role Player,Below
773,Josh Giddey,19,3.0,22,1.9000000000000001,Adelaide,6,1st,1-14,Australia,NBL,6,Role Player,Below
774,Langston Galloway,23,0.1,25,-0.5333333333333333,St. Joseph's (PA),0,Undrafted,Undrafted,USA,High School,29,Replacement Level,Exceeded
775,Immanuel Quickley,21,2.2,25,1.7333333333333334,Kentucky,25,1st,15-30,USA,Top D1,2,Role Player,Met
776,Allen Crabbe,22,-0.7,25,-0.8333333333333334,California,31,2nd,31-44,USA,Top D1,2,Replacement Level,Below
777,Devonte' Graham,23,0.7,25,0.36666666666666664,Kansas,34,2nd,31-44,USA,Top D1,2,Role Player,Met
778,Landry Shamet,21,-1.2,24,-1.3999999999999997,Wichita State,26,1st,15-30,USA,Other D1,7,Replacement Level,Below
779,Cody Zeller,21,0.2,24,0.06666666666666668,Indiana,4,1st,1-14,USA,Top D1,2,Role Player,Below
780,Devin Vassell,20,0.4,22,-0.033333333333333326,Florida State,11,1st,1-14,USA,Top D1,2,Replacement Level,Met
781,Austin Reaves,23,1.9,26,0.9999999999999999,Oklahoma,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
782,Darren Collison,22,2.7,29,2.2,UCLA,21,1st,15-30,USA,Top D1,2,Good Starter,Met
783,Naz Reid,20,1.6,25,1.3666666666666665,Louisiana State,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
784,E'Twaun Moore,22,-1.5,25,-1.6666666666666667,Purdue,55,2nd,45-60,USA,Top D1,2,Replacement Level,Met
785,Dāvis Bertāns,24,1.6,25,1.2666666666666668,Baskonia,42,2nd,31-44,Spain,Euroleague,1,Role Player,Met
786,Bryn Forbes,23,-1.2,25,-1.7333333333333334,Michigan State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
787,Tomáš Satoranský,25,1.2,26,0.0,FC Barcelona,32,2nd,31-44,Spain,Euroleague,1,Role Player,Met
788,DeMarcus Cousins,20,6.8,26,5.566666666666666,Kentucky,5,1st,1-14,USA,Top D1,2,All-NBA,Exceeded
789,Grant Williams,21,-0.4,23,-1.0333333333333334,Tennessee,22,1st,15-30,USA,Top D1,2,Replacement Level,Below
790,Stanley Johnson,19,-1.0,26,-1.9000000000000001,Arizona,8,1st,1-14,USA,Top D1,2,Replacement Level,Met
